"INT_ID","Angle","Front_to_Rear","Head_On","Sideswipe_Same_Dir","Sideswipe_Opp_Dir","Parked_Veh","Rear_to_Side","Rear_to_Rear","Single_Veh","Sev_1","Sev_2","Sev_3","Sev_4","Sev_5"
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,3,0,1,0,0,0,0,0,5,0,0,1,0
3,19,12,2,3,2,0,0,0,1,27,10,1,1,0
5,9,1,0,1,0,0,0,0,0,6,0,4,1,0
6,8,3,0,2,1,0,0,0,0,13,1,0,0,0
8,0,0,0,0,0,0,0,0,3,3,0,0,0,0
11,9,0,0,1,0,0,0,0,0,1,3,3,3,0
14,19,19,3,6,2,0,0,0,0,32,15,1,1,0
16,3,2,0,7,0,0,0,0,0,11,1,0,0,0
21,2,0,0,0,0,0,0,0,1,1,0,2,0,0
26,10,11,1,2,2,0,0,0,4,15,7,3,5,0
28,1,1,0,0,0,0,0,0,0,2,0,0,0,0
29,1,1,0,0,0,0,0,0,1,2,0,1,0,0
30,4,2,2,2,0,0,0,0,3,9,2,2,0,0
35,0,0,0,0,0,0,0,0,2,0,0,1,1,0
38,0,1,0,0,0,0,0,0,2,3,0,0,0,0
39,1,0,0,0,0,0,0,0,0,1,0,0,0,0
44,14,16,2,1,0,0,0,0,2,19,13,3,0,0
47,8,37,0,16,0,2,2,0,1,53,9,3,1,0
48,3,12,0,0,0,0,0,0,1,13,2,1,0,0
49,5,16,0,7,0,0,0,0,0,25,2,1,0,0
54,48,68,2,8,1,0,0,0,2,84,35,9,1,0
60,9,16,2,2,0,0,0,0,0,21,6,2,0,0
61,2,1,0,0,0,0,0,0,0,1,0,0,1,1
68,1,2,0,2,0,0,0,0,4,3,3,3,0,0
70,10,5,1,1,0,0,0,0,1,13,3,2,0,0
76,13,23,1,4,1,0,0,0,1,28,11,3,1,0
77,0,0,0,0,0,0,0,0,1,0,0,0,1,0
79,0,0,0,1,0,1,0,0,0,2,0,0,0,0
81,6,4,1,1,0,0,0,0,1,7,5,1,0,0
83,3,0,0,1,0,0,0,0,0,3,0,1,0,0
85,1,5,0,0,0,0,0,0,2,6,1,1,0,0
88,2,0,0,0,0,0,0,0,0,1,0,1,0,0
92,5,22,2,1,1,0,0,0,1,20,10,2,0,0
93,1,0,0,0,1,0,0,0,1,2,1,0,0,0
94,1,0,0,0,0,0,0,0,0,0,1,0,0,0
100,0,0,0,0,0,0,0,0,1,1,0,0,0,0
101,1,4,0,0,0,0,0,0,0,5,0,0,0,0
104,18,8,2,1,1,0,0,0,0,15,7,7,1,0
106,1,0,0,0,0,0,0,0,0,0,0,1,0,0
107,2,10,0,0,0,0,0,0,3,9,4,2,0,0
114,8,18,0,9,1,0,0,0,4,29,8,3,0,0
115,12,16,2,6,1,0,0,0,1,27,8,3,0,0
122,1,3,0,4,0,0,0,0,0,5,1,2,0,0
125,0,1,0,0,0,0,0,0,0,0,0,0,0,1
132,1,1,0,0,0,0,0,0,0,2,0,0,0,0
133,0,0,0,0,0,0,0,0,1,1,0,0,0,0
138,4,11,0,2,0,0,0,0,1,13,4,1,0,0
140,3,6,0,2,0,0,0,0,2,11,2,0,0,0
141,3,4,0,1,0,0,0,0,0,8,0,0,0,0
142,2,10,0,2,0,0,0,0,4,14,2,1,1,0
143,4,10,0,4,0,1,0,0,2,18,2,1,0,0
144,1,9,1,3,1,1,0,0,1,13,4,0,0,0
145,5,4,0,3,0,1,0,0,1,13,0,0,1,0
148,0,0,0,0,0,0,0,0,1,1,0,0,0,0
150,0,0,0,0,0,0,0,0,1,1,0,0,0,0
152,1,2,0,1,0,0,0,0,0,4,0,0,0,0
153,1,0,1,0,0,0,0,0,1,1,1,1,0,0
154,3,2,0,0,0,0,0,0,1,5,0,0,0,1
159,1,1,0,0,0,0,0,0,0,2,0,0,0,0
162,0,2,0,0,0,0,0,0,0,2,0,0,0,0
164,0,0,0,0,0,1,0,0,0,0,1,0,0,0
166,2,0,0,0,0,0,0,0,0,0,0,2,0,0
168,5,50,2,0,0,0,0,0,2,34,17,7,1,0
169,0,1,0,0,0,0,0,0,1,1,1,0,0,0
170,15,4,0,0,1,0,0,0,1,9,5,7,0,0
171,2,1,0,0,0,0,0,0,0,1,2,0,0,0
173,7,0,1,0,1,0,0,0,0,3,4,1,1,0
175,1,4,2,0,0,0,0,0,0,3,4,0,0,0
176,1,7,0,0,0,0,0,0,0,2,4,2,0,0
178,3,0,0,0,1,1,0,0,1,3,1,2,0,0
180,2,3,0,2,0,0,0,0,3,6,4,0,0,0
182,1,0,0,0,0,0,0,0,0,1,0,0,0,0
183,0,0,0,0,0,0,0,0,2,2,0,0,0,0
184,0,0,0,1,0,0,0,0,1,1,1,0,0,0
