Angle,Front_to_Rear,Head_On,Sideswipe_Same_Dir,Sideswipe_Opp_Dir,Parked_Veh,Rear_to_Side,Rear_to_Rear,Single_Veh,Sev_1,Sev_2,Sev_3,Sev_4,Sev_5,Severe
1,0,0,0,0,0,0,0,6,4,0,3,0,0,3
0,0,0,0,0,0,0,0,5,3,0,1,1,0,2
0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,10,4,3,4,0,0,4
0,1,0,0,0,0,0,0,17,8,5,3,1,1,5
1,0,0,0,0,0,0,0,2,0,2,1,0,0,1
0,2,0,0,0,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,5,0,0,0,0,0,0,15,17,4,3,0,0,3
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3,0,0,0,1,0,0,0,9,11,1,1,0,0,1
10,6,1,5,4,1,0,0,2,21,4,2,2,0,4
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,5,3,1,1,0,0,1
0,1,0,0,0,0,0,0,18,14,0,5,0,0,5
0,0,0,0,0,0,0,0,16,12,1,2,1,0,3
0,1,0,0,1,0,0,0,2,4,0,0,0,0,0
2,1,0,0,0,0,0,0,16,12,2,4,1,0,5
0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
0,1,0,0,0,0,0,0,7,7,0,0,1,0,1
0,0,0,0,0,0,0,0,19,14,2,2,1,0,3
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,3,1,1,1,0,0,1
1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
0,0,0,0,0,2,0,0,5,7,0,0,0,0,0
0,2,0,0,3,0,0,0,49,25,7,13,8,1,22
1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,6,3,3,0,0,0,0
1,0,0,0,0,1,0,0,1,3,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,10,7,1,2,0,0,2
0,1,0,0,0,0,0,0,1,2,0,0,0,0,0
1,1,0,1,0,0,0,0,16,13,4,1,1,0,2
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5,4,0,0,1,1,0,0,2,8,5,0,0,0,0
12,6,3,2,0,2,0,0,3,23,4,1,0,0,1
7,6,1,1,1,1,0,0,2,13,3,3,0,0,3
2,32,0,0,0,2,0,0,2,30,3,4,0,1,5
47,63,2,14,4,1,0,0,4,72,42,18,2,1,21
35,27,6,3,1,2,0,0,9,40,29,11,3,0,14
3,14,0,0,0,0,0,0,2,13,4,2,0,0,2
9,12,0,2,1,0,0,0,8,17,9,4,1,1,6
3,2,0,1,0,0,0,0,2,7,1,0,0,0,0
11,1,0,2,0,0,0,0,22,26,5,4,1,0,5
4,2,4,3,5,0,0,0,39,42,8,4,1,2,7
1,0,0,1,0,0,0,0,3,3,0,2,0,0,2
2,2,2,5,0,0,0,0,40,36,4,7,3,1,11
4,3,0,4,0,1,0,0,72,58,4,10,7,5,22
0,0,1,0,2,1,0,0,12,14,1,1,0,0,1
2,2,1,4,5,1,0,0,72,62,4,14,6,1,21
2,3,1,5,5,2,0,0,89,80,8,15,3,1,19
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8,12,10,8,17,4,0,0,188,159,40,31,15,2,48
1,4,1,4,2,0,0,0,36,39,5,4,0,0,4
2,3,0,2,0,0,0,0,26,26,4,2,1,0,3
0,0,1,3,1,0,0,0,13,15,0,2,1,0,3
0,3,4,2,2,0,0,0,71,62,10,8,1,1,10
0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
0,1,1,1,2,0,0,0,33,29,2,4,3,0,7
0,1,0,2,0,1,0,0,23,25,1,1,0,0,1
0,0,0,0,2,0,0,0,6,8,0,0,0,0,0
0,0,0,1,0,0,0,0,10,9,2,0,0,0,0
0,0,0,0,1,1,0,0,5,6,0,1,0,0,1
1,2,0,0,1,1,0,0,13,14,3,1,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,14,12,2,1,0,0,1
2,1,0,0,0,0,0,0,9,8,2,0,0,2,2
2,0,0,0,0,0,0,0,15,14,2,1,0,0,1
3,3,1,2,1,1,0,0,84,83,6,4,1,1,6
5,0,1,2,0,0,0,0,19,15,4,7,1,0,8
0,2,0,2,0,0,0,0,34,29,4,3,0,2,5
0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
1,1,0,2,0,0,0,0,11,14,1,0,0,0,0
0,0,0,0,1,0,0,0,3,4,0,0,0,0,0
0,0,0,1,0,0,0,0,11,8,2,2,0,0,2
0,0,0,0,1,0,0,0,9,8,1,1,0,0,1
0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
0,0,1,0,0,0,0,0,11,11,0,1,0,0,1
0,0,0,0,0,0,0,0,9,8,1,0,0,0,0
0,1,0,1,0,2,0,0,69,71,1,1,0,0,1
0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1,2,0,4,0,0,0,0,4,9,2,0,0,0,0
1,0,0,1,0,0,0,0,2,4,0,0,0,0,0
1,2,0,0,0,0,0,0,11,11,0,2,0,1,3
1,1,0,0,0,1,0,0,20,20,1,1,1,0,2
0,0,0,0,0,1,0,0,4,4,1,0,0,0,0
0,0,0,0,1,0,0,0,3,3,0,0,1,0,1
0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
0,1,1,0,1,0,0,0,13,15,0,0,0,1,1
0,1,0,2,1,0,0,0,4,6,0,0,2,0,2
1,0,0,1,0,0,0,0,1,3,0,0,0,0,0
0,5,0,1,0,1,0,0,6,7,0,4,2,0,6
0,3,1,1,0,0,0,0,6,7,3,0,1,0,1
3,12,2,2,3,1,0,1,36,40,7,6,4,3,13
0,1,0,1,0,0,0,0,5,4,2,1,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,1,0,1,0,0,0,0,7,9,0,1,0,0,1
