INT_ID,Angle,Front_to_Rear,Head_On,Sideswipe_Same_Dir,Sideswipe_Opp_Dir,Parked_Veh,Rear_to_Side,Rear_to_Rear,Single_Veh,Sev_1,Sev_2,Sev_3,Sev_4,Sev_5,Sev_4-5,Sev_3-5
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,3,0,1,0,0,0,0,0,5,0,0,1,0,1,1
3,19,12,2,3,2,0,0,0,1,27,10,1,1,0,1,2
5,9,1,0,1,0,0,0,0,0,6,0,4,1,0,1,5
6,8,3,0,2,1,0,0,0,0,13,1,0,0,0,0,0
8,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
11,9,0,0,1,0,0,0,0,0,1,3,3,3,0,3,6
14,19,19,3,6,2,0,0,0,0,32,15,1,1,0,1,2
16,3,2,0,7,0,0,0,0,0,11,1,0,0,0,0,0
21,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2
26,10,11,1,2,2,0,0,0,4,15,7,3,5,0,5,8
28,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
29,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1
30,4,2,2,2,0,0,0,0,3,9,2,2,0,0,0,2
35,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,2
38,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0
39,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,14,16,2,1,0,0,0,0,2,19,13,3,0,0,0,3
47,8,37,0,16,0,2,2,0,1,53,9,3,1,0,1,4
48,3,12,0,0,0,0,0,0,1,13,2,1,0,0,0,1
49,5,16,0,7,0,0,0,0,0,25,2,1,0,0,0,1
54,48,68,2,8,1,0,0,0,2,84,35,9,1,0,1,10
60,9,16,2,2,0,0,0,0,0,21,6,2,0,0,0,2
61,2,1,0,0,0,0,0,0,0,1,0,0,1,1,2,2
68,1,2,0,2,0,0,0,0,4,3,3,3,0,0,0,3
70,10,5,1,1,0,0,0,0,1,13,3,2,0,0,0,2
76,13,23,1,4,1,0,0,0,1,28,11,3,1,0,1,4
77,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
79,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0
81,6,4,1,1,0,0,0,0,1,7,5,1,0,0,0,1
83,3,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1
85,1,5,0,0,0,0,0,0,2,6,1,1,0,0,0,1
88,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
92,5,22,2,1,1,0,0,0,1,20,10,2,0,0,0,2
93,1,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0
94,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
101,1,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0
104,18,8,2,1,1,0,0,0,0,15,7,7,1,0,1,8
106,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
107,2,10,0,0,0,0,0,0,3,9,4,2,0,0,0,2
114,8,18,0,9,1,0,0,0,4,29,8,3,0,0,0,3
115,12,16,2,6,1,0,0,0,1,27,8,3,0,0,0,3
122,1,3,0,4,0,0,0,0,0,5,1,2,0,0,0,2
125,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
138,4,11,0,2,0,0,0,0,1,13,4,1,0,0,0,1
140,3,6,0,2,0,0,0,0,2,11,2,0,0,0,0,0
141,3,4,0,1,0,0,0,0,0,8,0,0,0,0,0,0
142,2,10,0,2,0,0,0,0,4,14,2,1,1,0,1,2
143,4,10,0,4,0,1,0,0,2,18,2,1,0,0,0,1
144,1,9,1,3,1,1,0,0,1,13,4,0,0,0,0,0
145,5,4,0,3,0,1,0,0,1,13,0,0,1,0,1,1
148,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
152,1,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0
153,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1
154,3,2,0,0,0,0,0,0,1,5,0,0,0,1,1,1
159,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
162,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
164,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
166,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
168,5,50,2,0,0,0,0,0,2,34,17,7,1,0,1,8
169,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
170,15,4,0,0,1,0,0,0,1,9,5,7,0,0,0,7
171,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
173,7,0,1,0,1,0,0,0,0,3,4,1,1,0,1,2
175,1,4,2,0,0,0,0,0,0,3,4,0,0,0,0,0
176,1,7,0,0,0,0,0,0,0,2,4,2,0,0,0,2
178,3,0,0,0,1,1,0,0,1,3,1,2,0,0,0,2
180,2,3,0,2,0,0,0,0,3,6,4,0,0,0,0,0
182,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
184,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
185,7,6,0,1,0,0,0,0,1,7,4,4,0,0,0,4
187,2,0,0,0,0,0,0,0,4,4,0,1,1,0,1,2
190,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
192,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
198,10,15,1,0,1,0,0,0,1,13,7,8,0,0,0,8
203,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
206,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
207,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0
210,10,29,1,0,0,0,0,0,1,19,15,5,1,1,2,7
213,17,27,2,3,0,0,0,0,1,24,15,8,2,1,3,11
214,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1
216,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
224,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
227,3,0,0,2,1,2,0,0,0,6,0,1,1,0,1,2
228,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
229,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
230,1,1,0,3,0,0,0,0,0,4,1,0,0,0,0,0
231,10,1,0,1,0,0,0,0,0,5,4,2,1,0,1,3
232,2,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2
236,10,2,0,0,0,0,0,0,1,7,2,4,0,0,0,4
239,1,1,0,1,0,0,0,0,1,2,1,1,0,0,0,1
241,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
242,10,2,1,0,0,0,0,0,3,10,2,3,0,1,1,4
244,6,10,0,3,0,0,0,0,5,16,5,1,2,0,2,3
251,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
252,17,13,2,0,1,0,0,0,1,18,11,5,0,0,0,5
257,24,8,2,1,0,0,0,0,4,20,6,10,2,1,3,13
258,3,0,0,0,0,0,0,0,1,2,0,2,0,0,0,2
260,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
265,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0
269,5,8,0,0,1,0,0,0,1,11,1,2,0,1,1,3
273,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
274,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
281,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
289,3,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1
290,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
291,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
293,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
297,13,0,0,0,1,0,1,0,2,9,4,3,1,0,1,4
305,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
306,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0
315,1,1,0,1,0,0,0,0,1,3,1,0,0,0,0,0
316,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
317,6,3,0,1,0,0,0,0,1,9,1,1,0,0,0,1
320,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
321,2,0,0,0,0,0,0,0,2,2,0,1,1,0,1,2
326,8,5,1,1,1,2,0,0,1,13,5,1,0,0,0,1
327,0,1,0,1,0,1,0,0,1,4,0,0,0,0,0,0
329,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
334,2,1,0,1,0,0,0,0,3,5,1,1,0,0,0,1
335,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
336,2,1,0,0,0,0,0,0,1,1,2,0,0,1,1,1
341,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0
342,4,1,0,1,0,0,0,0,0,2,2,1,1,0,1,2
343,6,0,1,0,0,0,0,0,1,1,3,3,1,0,1,4
346,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
347,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0
348,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0
349,2,8,0,1,0,0,0,0,0,5,4,1,1,0,1,2
351,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
353,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0
354,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
359,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
366,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0
370,3,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
374,0,2,0,0,0,0,0,0,2,3,1,0,0,0,0,0
375,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
376,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
378,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
379,2,8,0,0,0,0,0,0,3,10,1,2,0,0,0,2
380,3,1,0,0,0,1,0,0,1,5,0,1,0,0,0,1
381,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0
382,3,5,1,0,0,0,0,0,2,7,3,1,0,0,0,1
383,11,4,0,4,1,0,1,0,1,17,4,1,0,0,0,1
384,4,4,0,2,0,0,0,0,0,7,1,0,2,0,2,2
385,6,2,0,0,1,1,0,0,1,8,1,2,0,0,0,2
386,11,9,0,0,0,0,0,0,1,13,7,0,1,0,1,1
387,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2
388,1,6,2,0,0,0,0,0,2,7,2,2,0,0,0,2
389,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0
390,8,18,0,1,1,1,0,0,1,21,6,3,0,0,0,3
391,7,10,0,1,0,0,1,0,3,17,4,1,0,0,0,1
392,12,9,1,1,0,1,0,0,2,16,5,4,1,0,1,5
394,8,7,4,0,1,0,0,0,1,10,6,4,1,0,1,5
396,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
401,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
403,3,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0
404,3,0,0,0,0,0,0,0,4,2,1,3,1,0,1,4
